Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Good,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Soh Larr,Men,POC,2019,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Don,Men,White,2019,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
R. Keller,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Cook,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Cajun,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Norex,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bron Char,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bret Johnson,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Minn Erva,Women,POC,2019,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Att Lass,Men,POC,2019,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Accuser,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Phyllis Jenkins,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Chesler,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Lia,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Augie,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Akihiko,Men,POC,2019,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Janice Lincoln,Women,White,2019,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Josh Scarino,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Julius Dell,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Yasmin Monette,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Zach Cooper,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Zoha Souliotis,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Victoria Snow,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Tyler Corbyn,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Sue Lorman,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Shanice,Women,POC,2019,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Sebastian Viveros,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Sean Winford,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Dimitri Smerdyakov,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Clark,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Bristow,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Brad Davis,Men,POC,2019,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
White Vision,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Webb,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
John Collins,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Tommy Maximoff,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Todd Davis,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Isabel Matsueda,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Iryna Maximoff,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Highland,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Harold Proctor,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Stan Nielson,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Sharon Davis,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Sarah Proctor,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Franklin,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Evanora Harkness,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Rodriguez (Agent),Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Oleg Maximoff,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Billy Maximoff,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Abilash Tandon,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Aly Goodner,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Mrs. Nielson,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Monti,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Miller,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Miguel,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Dovich,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Gigi,Women,White,2021,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Side Character
DeeDee,Women,POC,2021,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Christina Raynor,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Cass Wilson,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
AJ Wilson,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Tommy (Falcon),Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Carlos,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Lennox,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Diego,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Eli Bradley,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Nico,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Olivia Walker,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Casey,Men,POC,2021,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Hunter D-90,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Hunter C-20,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Classic Loki,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Kid Loki,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Boastful Loki,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Patrice,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Hunter U-92,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
PVT Hudson,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Corporal Hicks,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Lerato,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Oksana,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Ingrid,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Ursa Major,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Helen,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Yuchen,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
John (Husband),Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Soo,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Jie,Men,POC,2021,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Hui,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Waipo Chen,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Mrs. Chen,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Tak,Men,POC,2021,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Guang Bo,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Gao Lei,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ruihua Chen,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ted,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Terry,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jano,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Jack Stoss,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ben Stoss,Men,POC,2021,LGBTQ+,2021,Good,Men of Color,LGBTQ+ Men,LGBTQ+ POC,LGBTQ+ Men,Side Character
Patrick,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Diego (Villager),Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ivan Banionis,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
William Lopez,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Wendy Conrad,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Tomas,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Stevie,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Sonya,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Gills,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Greer,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Gary (Catering Captain),Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Rivera (NYPD),Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Frannny,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Enrique,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Edith Barton,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Orville,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Dmitri,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Dee,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Moira Brandon,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Missy,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Marc Shaiman,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Caudle,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ana,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Armand Duquesne III,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Armand Duquesne VII,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Walter Burke,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Sadie Deever,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Ned Leeds' Lola,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Yatzil,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Horus' Avatar,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Wendy Spector,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Randall Spector,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Elias Spector,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Victor (Disciple),Men,POC,2022,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Tefnut's Avatar,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Taweret,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Selim,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Dylan,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Dorfeld,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Donna Kraft,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Ronnie,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Chase,Men,POC,2022,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Bobbi Kennedy,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Billy Fitzgerald,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Beta (Disciple),Men,POC,2022,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Bertrand Crawley,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bek,Men,POC,2022,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Lagaro,Women,White,2022,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Alpha (Disciple),Men,POC,2022,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Jamila,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
J.B.,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Abdallah El-Faouly,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Isis' Avatar,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Muneeba Khan,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Yusuf Khan,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Aamir Khan,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Zoe Zimmer,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Sana Ali,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Hasan,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Aisha,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Fariha,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Sheikh Abdullah,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Najaf,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Tyesha Hillman,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Waleed,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Gabe Wilson Jr.,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ruby,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Zara,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Miguel (Ms. Marvel),Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Paul,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Weasel,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Elena Chavez,Women,POC,2022,LGBTQ+,2022,Good,Women of Color,LGBTQ+ Women,LGBTQ+ POC,LGBTQ+ Women of Color,Side Character
Vinny,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Sara Wolfe,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Charlie (Husband),Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Carla (Waitress),Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Mr. Palmer,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Amalia Chavez,Women,POC,2022,LGBTQ+,2022,Good,Women of Color,LGBTQ+ Women,LGBTQ+ POC,LGBTQ+ Women of Color,Side Character
Ariann,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Todd Phelps,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Luke Jacobson,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Holden Holliway,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Morris Walters,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Elaine Walters,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Megan Thee Stallion,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Donny Blaze,Men,POC,2022,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Lulu,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Dennis Bukowski,Men,White,2022,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Pedro,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ched,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Dirk Garthwaite,Men,POC,2022,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Josh Miller,Men,POC,2022,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
